Date [s],Tmean2d( B/C ) [<unknown>]
0,363.15
0.01,363.029
0.02,363.005
0.03,362.981
0.04,362.956
0.05,362.93
0.06,362.905
0.07,362.881
0.08,362.862
0.09,362.847
0.1,362.827
0.11,362.809
0.12,362.79
0.13,362.764
0.14,362.734
0.15,362.714
0.16,362.69
0.17,362.663
0.18,362.641
0.19,362.613
0.2,362.573
0.21,362.532
0.22,362.492
0.23,362.444
0.24,362.4
0.25,362.351
0.26,362.315
0.27,362.268
0.28,362.223
0.29,362.182
0.3,362.139
0.31,362.093
0.32,362.039
0.33,361.979
0.34,361.921
0.35,361.871
0.36,361.837
0.37,361.798
0.38,361.761
0.39,361.711
0.4,361.664
0.41,361.601
0.42,361.532
0.43,361.452
0.44,361.382
0.45,361.331
0.46,361.269
0.47,361.217
0.48,361.16
0.49,361.112
0.5,361.062
0.51,361.011
0.52,360.946
0.53,360.883
0.54,360.846
0.55,360.816
0.56,360.794
0.57,360.754
0.58,360.747
0.59,360.718
0.6,360.693
0.61,360.648
0.62,360.595
0.63,360.554
0.64,360.521
0.65,360.492
0.66,360.46
0.67,360.443
0.68,360.414
0.69,360.382
0.7,360.361
0.71,360.306
0.72,360.256
0.73,360.22
0.74,360.192
0.75,360.152
0.76,360.136
0.77,360.104
0.78,360.082
0.79,360.06
0.8,360.021
0.81,359.993
0.82,359.973
0.83,359.936
0.84,359.914
0.85,359.899
0.86,359.907
0.87,359.918
0.88,359.919
0.89,359.91
0.9,359.907
0.91,359.889
0.92,359.867
0.93,359.87
0.94,359.833
0.95,359.825
0.96,359.784
0.97,359.766
0.98,359.737
0.99,359.718
1,359.707
1.01,359.662
1.02,359.616
1.03,359.588
1.04,359.569
1.05,359.527
1.06,359.513
1.07,359.518
1.08,359.512
1.09,359.492
1.1,359.469
1.11,359.462
1.12,359.453
1.13,359.433
1.14,359.448
1.15,359.451
1.16,359.444
1.17,359.454
1.18,359.486
1.19,359.471
1.2,359.465
1.21,359.473
1.22,359.434
1.23,359.379
1.24,359.33
1.25,359.27
1.26,359.22
1.27,359.195
1.28,359.179
1.29,359.172
1.3,359.17
1.31,359.173
1.32,359.176
1.33,359.183
1.34,359.137
1.35,359.116
1.36,359.11
1.37,359.091
1.38,359.082
1.39,359.071
1.4,359.077
1.41,359.072
1.42,359.08
1.43,359.059
1.44,359.048
1.45,359.021
1.46,358.988
1.47,358.935
1.48,358.89
1.49,358.85
1.5,358.807
1.51,358.775
1.52,358.732
1.53,358.701
1.54,358.649
1.55,358.598
1.56,358.555
1.57,358.529
1.58,358.515
1.59,358.498
1.6,358.483
1.61,358.457
1.62,358.458
1.63,358.45
1.64,358.446
1.65,358.469
1.66,358.473
1.67,358.456
1.68,358.45
1.69,358.469
1.7,358.45
1.71,358.448
1.72,358.433
1.73,358.437
1.74,358.424
1.75,358.422
1.76,358.406
1.77,358.394
1.78,358.372
1.79,358.335
1.8,358.302
1.81,358.264
1.82,358.245
1.83,358.238
1.84,358.234
1.85,358.223
1.86,358.201
1.87,358.197
1.88,358.197
1.89,358.204
1.9,358.202
1.91,358.188
1.92,358.176
1.93,358.157
1.94,358.153
1.95,358.121
1.96,358.118
1.97,358.098
1.98,358.075
1.99,358.07
2,358.067
2.01,358.043
2.02,358.009
2.03,358.001
2.04,357.998
2.05,357.964
2.06,357.95
2.07,357.934
2.08,357.901
2.09,357.859
2.1,357.84
2.11,357.831
2.12,357.827
2.13,357.839
2.14,357.839
2.15,357.829
2.16,357.813
2.17,357.792
2.18,357.77
2.19,357.756
2.2,357.721
2.21,357.696
2.22,357.672
2.23,357.633
2.24,357.622
2.25,357.604
2.26,357.584
2.27,357.581
2.28,357.544
2.29,357.532
2.3,357.51
2.31,357.486
2.32,357.47
2.33,357.467
2.34,357.469
2.35,357.451
2.36,357.446
2.37,357.421
2.38,357.43
2.39,357.45
