Date [s],Average:Temperature [K]
0,363.15
0.01,363.071
0.02,363.064
0.03,363.057
0.04,363.048
0.05,363.037
0.06,363.025
0.07,363.013
0.08,362.999
0.09,362.984
0.1,362.968
0.11,362.951
0.12,362.933
0.13,362.914
0.14,362.894
0.15,362.873
0.16,362.852
0.17,362.83
0.18,362.807
0.19,362.785
0.2,362.763
0.21,362.741
0.22,362.72
0.23,362.7
0.24,362.68
0.25,362.661
0.26,362.629
0.27,362.542
0.28,362.474
0.29,362.426
0.3,362.39
0.31,362.361
0.32,362.336
0.33,362.314
0.34,362.295
0.35,362.276
0.36,362.259
0.37,362.241
0.38,362.223
0.39,362.204
0.4,362.184
0.41,362.162
0.42,362.144
0.43,362.137
0.44,362.156
0.45,362.15
0.46,362.129
0.47,362.108
0.48,362.086
0.49,362.064
0.5,362.042
0.51,362.02
0.52,361.999
0.53,361.979
0.54,361.958
0.55,361.938
0.56,361.919
0.57,361.9
0.58,361.883
0.59,361.865
0.6,361.848
0.61,361.83
0.62,361.813
0.63,361.796
0.64,361.779
0.65,361.762
0.66,361.746
0.67,361.729
0.68,361.712
0.69,361.695
0.7,361.677
0.71,361.659
0.72,361.64
0.73,361.621
0.74,361.603
0.75,361.585
0.76,361.567
0.77,361.549
0.78,361.531
0.79,361.513
0.8,361.494
0.81,361.477
0.82,361.459
0.83,361.441
0.84,361.423
0.85,361.405
0.86,361.387
0.87,361.37
0.88,361.352
0.89,361.335
0.9,361.317
0.91,361.299
0.92,361.28
0.93,361.261
0.94,361.242
0.95,361.224
0.96,361.207
0.97,361.191
0.98,361.175
0.99,361.159
1,361.143
1.01,361.126
1.02,361.108
1.03,361.089
1.04,361.07
1.05,361.049
1.06,361.028
1.07,361.006
1.08,360.984
1.09,360.963
1.1,360.943
1.11,360.922
1.12,360.902
1.13,360.883
1.14,360.863
1.15,360.844
1.16,360.827
1.17,360.809
1.18,360.793
1.19,360.776
1.2,360.759
1.21,360.741
1.22,360.723
1.23,360.705
1.24,360.688
1.25,360.671
1.26,360.654
1.27,360.636
1.28,360.618
1.29,360.6
1.3,360.58
1.31,360.56
1.32,360.54
1.33,360.52
1.34,360.499
1.35,360.48
1.36,360.462
1.37,360.446
1.38,360.431
1.39,360.416
1.4,360.401
1.41,360.385
1.42,360.369
1.43,360.352
1.44,360.335
1.45,360.317
1.46,360.299
1.47,360.28
1.48,360.262
1.49,360.243
1.5,360.225
1.51,360.206
1.52,360.188
1.53,360.17
1.54,360.154
1.55,360.138
1.56,360.124
1.57,360.109
1.58,360.093
1.59,360.077
1.6,360.06
1.61,360.043
1.62,360.025
1.63,360.008
1.64,359.99
1.65,359.972
1.66,359.953
1.67,359.934
1.68,359.914
1.69,359.896
1.7,359.879
1.71,359.864
1.72,359.849
1.73,359.834
1.74,359.819
