Date [s],Tav_2d( B/C ) [<unknown>]
0,363.15
0.01,363.047
0.02,363.025
0.03,363.001
0.04,362.976
0.05,362.953
0.06,362.933
0.07,362.915
0.08,362.902
0.09,362.891
0.1,362.879
0.11,362.872
0.12,362.861
0.13,362.843
0.14,362.827
0.15,362.805
0.16,362.786
0.17,362.764
0.18,362.74
0.19,362.717
0.2,362.631
0.21,362.524
0.22,362.435
0.23,362.339
0.24,362.251
0.25,362.15
0.26,362.045
0.27,361.944
0.28,361.854
0.29,361.753
0.3,361.655
0.31,361.547
0.32,361.463
0.33,361.372
0.34,361.3
0.35,361.215
0.36,361.153
0.37,361.084
0.38,361.018
0.39,360.968
0.4,360.908
0.41,360.875
0.42,360.819
0.43,360.77
0.44,360.691
0.45,360.628
0.46,360.6
0.47,360.677
0.48,360.685
0.49,360.651
0.5,360.637
0.51,360.629
0.52,360.61
0.53,360.577
0.54,360.547
0.55,360.486
0.56,360.463
0.57,360.423
0.58,360.385
0.59,360.339
0.6,360.263
0.61,360.207
0.62,360.141
0.63,360.102
0.64,360.068
0.65,360.013
0.66,359.979
0.67,359.931
0.68,359.929
0.69,359.912
0.7,359.88
0.71,359.866
0.72,359.837
0.73,359.823
0.74,359.797
0.75,359.755
0.76,359.721
0.77,359.662
0.78,359.6
0.79,359.554
0.8,359.481
0.81,359.416
0.82,359.348
0.83,359.302
0.84,359.248
0.85,359.24
0.86,359.228
0.87,359.228
0.88,359.238
0.89,359.259
0.9,359.252
0.91,359.246
0.92,359.241
0.93,359.207
0.94,359.195
0.95,359.182
0.96,359.152
0.97,359.113
0.98,359.064
0.99,359.033
1,359.003
1.01,358.958
1.02,358.939
1.03,358.932
1.04,358.903
1.05,358.896
1.06,358.864
1.07,358.806
1.08,358.77
1.09,358.732
1.1,358.707
1.11,358.653
1.12,358.628
1.13,358.569
1.14,358.51
1.15,358.454
1.16,358.433
1.17,358.398
1.18,358.397
1.19,358.402
1.2,358.425
1.21,358.377
1.22,358.366
1.23,358.308
1.24,358.309
1.25,358.279
1.26,358.239
1.27,358.232
1.28,358.224
1.29,358.188
1.3,358.186
1.31,358.177
1.32,358.128
1.33,358.064
1.34,357.999
1.35,357.957
1.36,357.921
1.37,357.886
1.38,357.881
1.39,357.902
1.4,357.897
1.41,357.857
1.42,357.813
1.43,357.775
1.44,357.785
1.45,357.787
1.46,357.817
1.47,357.829
1.48,357.832
1.49,357.841
1.5,357.827
1.51,357.817
1.52,357.766
1.53,357.707
1.54,357.652
1.55,357.648
1.56,357.654
1.57,357.669
1.58,357.626
1.59,357.599
1.6,357.597
1.61,357.616
1.62,357.592
1.63,357.575
1.64,357.548
1.65,357.539
1.66,357.501
1.67,357.427
1.68,357.385
1.69,357.325
1.7,357.277
1.71,357.207
1.72,357.167
1.73,357.164
1.74,357.238
1.75,357.234
1.76,357.252
1.77,357.215
1.78,357.195
1.79,357.125
1.8,357.016
1.81,356.915
1.82,356.797
1.83,356.724
1.84,356.688
1.85,356.642
1.86,356.614
1.87,356.607
1.88,356.611
1.89,356.588
1.9,356.584
1.91,356.584
1.92,356.577
1.93,356.581
1.94,356.58
1.95,356.607
1.96,356.667
1.97,356.71
1.98,356.736
1.99,356.732
2,356.709
2.01,356.671
2.02,356.637
2.03,356.584
2.04,356.545
2.05,356.498
2.06,356.452
2.07,356.396
2.08,356.35
2.09,356.309
2.1,356.309
2.11,356.279
2.12,356.285
2.13,356.267
2.14,356.277
2.15,356.243
2.16,356.201
2.17,356.187
