Date [s],Taverage( C/B ) [<unknown>]
0,363.15
0.01,363.053
0.02,363.032
0.03,363.008
0.04,362.983
0.05,362.963
0.06,362.942
0.07,362.927
0.08,362.917
0.09,362.904
0.1,362.894
0.11,362.885
0.12,362.871
0.13,362.861
0.14,362.845
0.15,362.828
0.16,362.804
0.17,362.781
0.18,362.757
0.19,362.736
0.2,362.669
0.21,362.566
0.22,362.478
0.23,362.388
0.24,362.299
0.25,362.203
0.26,362.097
0.27,362.001
0.28,361.905
0.29,361.8
0.3,361.707
0.31,361.614
0.32,361.523
0.33,361.439
0.34,361.373
0.35,361.297
0.36,361.237
0.37,361.176
0.38,361.133
0.39,361.066
0.4,361.007
0.41,360.954
0.42,360.906
0.43,360.84
0.44,360.764
0.45,360.695
0.46,360.673
0.47,360.723
0.48,360.792
0.49,360.76
0.5,360.741
0.51,360.729
0.52,360.703
0.53,360.662
0.54,360.616
0.55,360.569
0.56,360.552
0.57,360.491
0.58,360.437
0.59,360.407
0.6,360.373
0.61,360.322
0.62,360.281
0.63,360.239
0.64,360.189
0.65,360.17
0.66,360.152
0.67,360.115
0.68,360.087
0.69,360.071
0.7,360.05
0.71,360.017
0.72,359.992
0.73,359.971
0.74,359.956
0.75,359.929
0.76,359.912
0.77,359.887
0.78,359.875
0.79,359.853
0.8,359.808
0.81,359.752
0.82,359.724
0.83,359.718
0.84,359.707
0.85,359.691
0.86,359.677
0.87,359.632
0.88,359.621
0.89,359.595
0.9,359.564
0.91,359.53
0.92,359.525
0.93,359.52
0.94,359.542
0.95,359.532
0.96,359.531
0.97,359.553
0.98,359.531
0.99,359.496
1,359.473
1.01,359.422
1.02,359.393
1.03,359.376
1.04,359.355
1.05,359.345
1.06,359.315
1.07,359.303
1.08,359.269
1.09,359.245
1.1,359.209
1.11,359.192
1.12,359.14
1.13,359.105
1.14,359.075
1.15,359.032
1.16,359.019
1.17,359.024
1.18,358.986
1.19,358.97
1.2,359.003
1.21,359.013
1.22,358.998
1.23,358.975
1.24,358.938
1.25,358.928
1.26,358.914
1.27,358.889
1.28,358.869
1.29,358.835
1.3,358.782
1.31,358.751
1.32,358.722
1.33,358.701
1.34,358.671
1.35,358.609
1.36,358.573
1.37,358.485
1.38,358.392
1.39,358.301
1.4,358.233
1.41,358.165
1.42,358.113
1.43,358.059
1.44,358.05
1.45,358.013
1.46,357.998
1.47,357.972
1.48,357.95
1.49,357.927
1.5,357.888
1.51,357.871
1.52,357.831
1.53,357.831
1.54,357.894
1.55,357.909
1.56,357.885
1.57,357.879
1.58,357.883
1.59,357.869
1.6,357.844
1.61,357.818
1.62,357.776
1.63,357.773
1.64,357.728
1.65,357.718
1.66,357.717
1.67,357.685
1.68,357.65
1.69,357.575
1.7,357.487
1.71,357.43
1.72,357.385
1.73,357.293
1.74,357.232
1.75,357.159
1.76,357.126
1.77,357.112
1.78,357.085
1.79,357.122
1.8,357.136
1.81,357.133
1.82,357.135
1.83,357.133
1.84,357.139
1.85,357.171
1.86,357.196
1.87,357.184
1.88,357.171
1.89,357.12
1.9,357.103
1.91,357.081
1.92,357.077
1.93,357.056
1.94,357.043
1.95,357.005
1.96,356.957
1.97,356.908
1.98,356.845
1.99,356.813
2,356.772
2.01,356.743
2.02,356.733
2.03,356.716
2.04,356.716
2.05,356.702
2.06,356.677
2.07,356.67
2.08,356.672
2.09,356.674
2.1,356.663
2.11,356.622
2.12,356.614
2.13,356.611
2.14,356.623
2.15,356.624
2.16,356.591
2.17,356.563
2.18,356.537
2.19,356.491
2.2,356.488
2.21,356.514
2.22,356.488
2.23,356.475
2.24,356.454
2.25,356.418
2.26,356.383
2.27,356.353
2.28,356.334
2.29,356.295
2.3,356.251
2.31,356.216
2.32,356.174
2.33,356.131
2.34,356.07
2.35,356.018
2.36,356.003
2.37,356.007
2.38,356.047
2.39,356.083
2.4,356.124
2.41,356.131
2.42,356.143
2.43,356.154
2.44,356.153
2.45,356.141
2.46,356.133
2.47,356.143
2.48,356.122
2.49,356.123
2.5,356.088
2.51,356.066
2.52,356.062
2.53,356.029
2.54,355.996
2.55,355.965
2.56,355.949
2.57,355.973
2.58,355.989
2.59,355.963
2.6,355.968
2.61,355.947
2.62,355.903
2.63,355.845
2.64,355.772
2.65,355.735
2.66,355.686
2.67,355.654
2.68,355.627
2.69,355.58
2.7,355.521
2.71,355.494
2.72,355.491
2.73,355.502
2.74,355.469
2.75,355.451
2.76,355.412
2.77,355.376
2.78,355.327
2.79,355.264
2.8,355.206
2.81,355.152
2.82,355.093
2.83,355.061
2.84,355.021
2.85,354.989
2.86,354.989
2.87,354.987
2.88,354.96
2.89,354.931
2.9,354.887
2.91,354.889
2.92,354.849
2.93,354.841
2.94,354.824
2.95,354.819
2.96,354.799
2.97,354.802
2.98,354.782
2.99,354.785
3,354.771
3.01,354.785
3.02,354.786
3.03,354.742
3.04,354.726
3.05,354.7
3.06,354.71
3.07,354.691
3.08,354.657
3.09,354.68
3.1,354.672
3.11,354.676
3.12,354.66
3.13,354.614
3.14,354.593
3.15,354.602
3.16,354.592
3.17,354.583
3.18,354.55
3.19,354.506
3.2,354.5
3.21,354.494
3.22,354.483
3.23,354.448
3.24,354.431
3.25,354.422
3.26,354.396
3.27,354.4
3.28,354.385
3.29,354.359
3.3,354.351
3.31,354.328
3.32,354.29
3.33,354.244
3.34,354.219
3.35,354.166
3.36,354.125
3.37,354.074
3.38,354.035
3.39,353.985
3.4,353.94
3.41,353.895
3.42,353.872
3.43,353.832
3.44,353.808
3.45,353.75
3.46,353.711
3.47,353.653
3.48,353.621
3.49,353.573
3.5,353.564
3.51,353.534
3.52,353.533
3.53,353.541
3.54,353.558
3.55,353.556
3.56,353.566
3.57,353.574
3.58,353.605
3.59,353.635
3.6,353.65
3.61,353.679
3.62,353.673
3.63,353.648
3.64,353.611
3.65,353.572
3.66,353.547
3.67,353.518
3.68,353.507
3.69,353.481
3.7,353.46
3.71,353.441
3.72,353.425
