Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.119,323.165,323.107
0.04,323.122,323.18,323.086
0.06,323.133,323.195,323.061
0.08,323.146,323.21,323.045
0.1,323.16,323.225,323.033
0.12,323.173,323.24,323.025
0.14,323.186,323.255,323.023
0.16,323.198,323.27,323.025
0.18,323.211,323.285,323.006
0.2,323.223,323.3,322.98
0.22,323.234,323.315,322.95
0.24,323.245,323.33,322.918
0.26,323.256,323.345,322.882
0.28,323.267,323.36,322.844
0.3,323.278,323.375,322.798
0.32,323.288,323.39,322.748
0.34,323.298,323.405,322.695
0.36,323.307,323.42,322.639
0.38,323.316,323.435,322.581
0.4,323.325,323.451,322.519
0.42,323.334,323.466,322.455
0.44,323.342,323.481,322.388
0.46,323.35,323.496,322.318
0.48,323.358,323.511,322.246
0.5,323.365,323.526,322.171
0.52,323.372,323.541,322.094
0.54,323.379,323.556,322.015
0.56,323.385,323.571,321.933
0.58,323.391,323.586,321.849
0.6,323.397,323.601,321.763
0.62,323.402,323.616,321.675
0.64,323.407,323.631,321.585
0.66,323.412,323.646,321.492
0.68,323.417,323.661,321.398
0.7,323.421,323.676,321.302
0.72,323.425,323.691,321.204
0.74,323.428,323.706,321.104
0.76,323.432,323.721,321.002
0.78,323.435,323.736,320.899
0.8,323.437,323.751,320.794
0.82,323.44,323.766,320.687
0.84,323.442,323.781,320.578
0.86,323.443,323.796,320.468
0.88,323.445,323.811,320.356
0.9,323.446,323.826,320.243
0.92,323.447,323.841,320.129
0.94,323.447,323.856,320.013
0.96,323.447,323.871,319.896
0.98,323.447,323.886,319.777
1,323.446,323.901,319.657
1.02,323.446,323.914,319.535
1.04,323.445,323.918,319.412
1.06,323.443,323.92,319.288
1.08,323.442,323.923,319.162
1.1,323.44,323.937,319.035
1.12,323.438,323.952,318.905
1.14,323.436,323.967,318.771
1.16,323.434,323.981,318.632
1.18,323.43,323.996,318.489
1.2,323.427,324.011,318.343
1.22,323.422,324.026,318.197
1.24,323.416,324.04,318.052
1.26,323.41,324.055,317.909
1.28,323.404,324.07,317.765
1.3,323.398,324.085,317.622
1.32,323.392,324.1,317.479
1.34,323.387,324.115,317.335
1.36,323.381,324.129,317.19
1.38,323.375,324.144,317.044
1.4,323.368,324.159,316.895
1.42,323.362,324.174,316.742
1.44,323.354,324.189,316.587
1.46,323.346,324.203,316.43
1.48,323.337,324.218,316.27
1.5,323.327,324.233,316.109
1.52,323.316,324.248,315.95
1.54,323.305,324.262,315.797
1.56,323.295,324.277,315.651
1.58,323.285,324.292,315.508
1.6,323.276,324.306,315.366
1.62,323.267,324.321,315.225
1.64,323.257,324.336,315.083
1.66,323.247,324.35,314.938
1.68,323.236,324.365,314.793
1.7,323.224,324.379,314.641
1.72,323.212,324.394,314.484
1.74,323.198,324.408,314.328
1.76,323.184,324.422,314.185
1.78,323.17,324.437,314.044
1.8,323.156,324.452,313.912
1.82,323.142,324.467,313.782
1.84,323.127,324.482,313.654
1.86,323.112,324.496,313.529
1.88,323.099,324.511,313.409
1.9,323.086,324.525,313.294
1.92,323.074,324.539,313.177
1.94,323.062,324.551,313.054
1.96,323.049,324.564,312.93
1.98,323.035,324.577,312.799
2,323.021,324.589,312.654
2.02,323.006,324.601,312.503
2.04,322.99,324.615,312.355
2.06,322.972,324.629,312.214
2.08,322.954,324.642,312.09
2.1,322.936,324.656,311.987
2.12,322.919,324.67,311.925
2.14,322.903,324.684,311.847
2.16,322.888,324.699,311.761
2.18,322.873,324.713,311.688
2.2,322.858,324.728,311.62
2.22,322.843,324.743,311.578
2.24,322.827,324.757,311.447
2.26,322.809,324.771,311.319
2.28,322.792,324.785,311.196
2.3,322.775,324.795,311.087
2.32,322.759,324.804,310.973
2.34,322.745,324.807,310.852
2.36,322.731,324.815,310.723
2.38,322.718,324.821,310.587
2.4,322.705,324.827,310.483
2.42,322.69,324.835,310.421
2.44,322.675,324.843,310.291
2.46,322.657,324.849,310.175
2.48,322.638,324.849,310.095
2.5,322.618,324.837,310.004
2.52,322.598,324.847,309.922
2.54,322.582,324.851,309.827
2.56,322.569,324.852,309.737
2.58,322.557,324.856,309.698
2.6,322.547,324.866,309.65
2.62,322.535,324.875,309.545
2.64,322.524,324.883,309.44
2.66,322.511,324.892,309.332
2.68,322.497,324.899,309.225
2.7,322.481,324.905,309.123
2.72,322.462,324.91,309.022
2.74,322.444,324.914,308.924
2.76,322.426,324.917,308.83
2.78,322.41,324.923,308.741
2.8,322.396,324.933,308.658
2.82,322.382,324.943,308.566
2.84,322.369,324.955,308.469
2.86,322.355,324.967,308.367
2.88,322.341,324.976,308.265
2.9,322.326,324.984,308.166
2.92,322.31,324.991,308.07
2.94,322.293,324.997,307.977
2.96,322.276,325.004,307.903
2.98,322.259,325.007,307.847
3,322.243,325.015,307.789
3.02,322.229,325.019,307.751
3.04,322.215,325.019,307.757
3.06,322.201,325.016,307.799
3.08,322.188,325.014,307.817
3.1,322.174,325.019,307.812
3.12,322.159,325.022,307.743
3.14,322.144,325.019,307.711
3.16,322.128,325.012,307.682
3.18,322.111,325.009,307.608
3.2,322.094,324.999,307.523
3.22,322.076,324.987,307.45
3.24,322.058,324.952,307.402
3.26,322.043,324.934,307.347
3.28,322.029,324.939,307.282
3.3,322.016,324.947,307.243
3.32,322.004,324.952,307.235
3.34,321.991,324.958,307.246
3.36,321.978,324.961,307.266
3.38,321.964,324.965,307.177
3.4,321.949,324.966,307.092
3.42,321.932,324.966,307.01
3.44,321.913,324.967,306.932
3.46,321.895,324.971,306.858
3.48,321.878,324.972,306.784
3.5,321.862,324.981,306.709
3.52,321.847,324.99,306.631
3.54,321.833,324.998,306.551
3.56,321.819,325.003,306.469
3.58,321.805,325.004,306.384
3.6,321.79,325.004,306.297
3.62,321.775,325.005,306.215
3.64,321.758,325.005,306.135
3.66,321.741,324.99,306.055
3.68,321.724,324.976,305.972
3.7,321.708,324.985,305.892
3.72,321.693,324.993,305.806
3.74,321.679,325.001,305.714
3.76,321.665,325.009,305.625
3.78,321.652,325.017,305.544
3.8,321.638,325.024,305.462
3.82,321.624,325.03,305.382
3.84,321.609,325.035,305.302
3.86,321.594,325.04,305.223
3.88,321.578,325.045,305.199
3.9,321.563,325.049,305.192
3.92,321.548,325.053,305.181
3.94,321.533,325.058,305.183
3.96,321.518,325.063,305.198
3.98,321.504,325.068,305.214
4,321.489,325.074,305.259
4.02,321.474,325.081,305.289
4.04,321.46,325.088,305.328
4.06,321.445,325.096,305.352
4.08,321.43,325.104,305.354
4.1,321.414,325.112,305.368
4.12,321.399,325.119,305.374
4.14,321.384,325.126,305.382
4.16,321.37,325.133,305.4
4.18,321.356,325.139,305.354
4.2,321.343,325.144,305.284
4.22,321.329,325.149,305.208
4.24,321.314,325.15,305.129
4.26,321.297,325.145,305.054
4.28,321.281,325.134,304.987
4.3,321.265,325.127,304.922
4.32,321.251,325.111,304.857
4.34,321.237,325.086,304.79
4.36,321.224,325.054,304.722
4.38,321.211,325.025,304.655
4.4,321.198,324.984,304.616
4.42,321.184,324.928,304.6
4.44,321.17,324.855,304.593
4.46,321.156,324.787,304.585
4.48,321.141,324.715,304.574
4.5,321.126,324.653,304.555
4.52,321.11,324.599,304.527
4.54,321.094,324.586,304.492
4.56,321.078,324.579,304.449
4.58,321.062,324.558,304.408
4.6,321.047,324.514,304.362
4.62,321.033,324.483,304.314
4.64,321.018,324.461,304.255
4.66,321.004,324.429,304.185
4.68,320.989,324.408,304.117
4.7,320.973,324.404,304.05
4.72,320.957,324.4,303.983
4.74,320.941,324.397,303.921
4.76,320.925,324.395,303.906
4.78,320.91,324.393,303.891
4.8,320.895,324.388,303.872
