Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.118,323.165,323.104
0.04,323.121,323.18,323.083
0.06,323.133,323.195,323.055
0.08,323.146,323.21,323.039
0.1,323.16,323.225,323.026
0.12,323.173,323.24,323.017
0.14,323.186,323.255,323.014
0.16,323.198,323.27,323.017
0.18,323.21,323.285,322.994
0.2,323.222,323.3,322.965
0.22,323.234,323.315,322.933
0.24,323.245,323.33,322.897
0.26,323.256,323.345,322.857
0.28,323.266,323.36,322.807
0.3,323.277,323.375,322.754
0.32,323.287,323.39,322.697
0.34,323.296,323.406,322.637
0.36,323.306,323.421,322.573
0.38,323.315,323.436,322.506
0.4,323.324,323.451,322.436
0.42,323.332,323.466,322.362
0.44,323.34,323.481,322.285
0.46,323.348,323.496,322.206
0.48,323.355,323.511,322.123
0.5,323.363,323.526,322.037
0.52,323.369,323.541,321.948
0.54,323.376,323.556,321.856
0.56,323.382,323.571,321.762
0.58,323.388,323.586,321.664
0.6,323.394,323.601,321.565
0.62,323.399,323.616,321.462
0.64,323.404,323.631,321.358
0.66,323.408,323.646,321.25
0.68,323.413,323.661,321.141
0.7,323.417,323.676,321.029
0.72,323.42,323.691,320.914
0.74,323.424,323.706,320.797
0.76,323.427,323.721,320.678
0.78,323.429,323.736,320.557
0.8,323.432,323.751,320.434
0.82,323.434,323.766,320.308
0.84,323.436,323.781,320.181
0.86,323.437,323.796,320.051
0.88,323.438,323.811,319.92
0.9,323.439,323.826,319.787
0.92,323.44,323.841,319.652
0.94,323.44,323.856,319.515
0.96,323.44,323.871,319.377
0.98,323.439,323.886,319.237
1,323.438,323.901,319.095
1.02,323.437,323.915,318.952
1.04,323.436,323.921,318.806
1.06,323.434,323.927,318.659
1.08,323.432,323.932,318.51
1.1,323.43,323.94,318.36
1.12,323.428,323.955,318.204
1.14,323.426,323.97,318.043
1.16,323.423,323.984,317.877
1.18,323.42,323.999,317.704
1.2,323.416,324.014,317.528
1.22,323.41,324.029,317.351
1.24,323.405,324.043,317.175
1.26,323.398,324.058,317.002
1.28,323.392,324.073,316.831
1.3,323.386,324.087,316.662
1.32,323.38,324.102,316.492
1.34,323.374,324.117,316.321
1.36,323.368,324.131,316.151
1.38,323.362,324.146,315.98
1.4,323.355,324.161,315.805
1.42,323.348,324.175,315.623
1.44,323.341,324.19,315.435
1.46,323.332,324.205,315.247
1.48,323.323,324.219,315.057
1.5,323.312,324.234,314.865
1.52,323.301,324.249,314.679
1.54,323.29,324.264,314.5
1.56,323.279,324.279,314.329
