Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.127
0.04,323.121
0.06,323.119
0.08,323.118
0.1,323.117
0.12,323.116
0.14,323.115
0.16,323.114
0.18,323.113
0.2,323.111
0.22,323.11
0.24,323.108
0.26,323.106
0.28,323.104
0.3,323.101
0.32,323.099
0.34,323.096
0.36,323.093
0.38,323.091
0.4,323.087
0.42,323.084
0.44,323.081
0.46,323.077
0.48,323.074
0.5,323.07
0.52,323.066
0.54,323.062
0.56,323.057
0.58,323.053
0.6,323.048
0.62,323.044
0.64,323.039
0.66,323.034
0.68,323.029
0.7,323.023
0.72,323.018
0.74,323.012
0.76,323.006
0.78,323
0.8,322.994
0.82,322.988
0.84,322.981
0.86,322.975
0.88,322.968
0.9,322.961
0.92,322.954
0.94,322.947
0.96,322.939
0.98,322.932
1,322.924
1.02,322.916
1.04,322.908
1.06,322.9
1.08,322.892
1.1,322.884
1.12,322.875
1.14,322.867
1.16,322.858
1.18,322.849
1.2,322.84
1.22,322.83
1.24,322.82
1.26,322.81
1.28,322.799
1.3,322.789
1.32,322.779
1.34,322.769
1.36,322.758
1.38,322.748
1.4,322.738
1.42,322.727
1.44,322.716
1.46,322.704
1.48,322.692
1.5,322.68
1.52,322.668
1.54,322.655
1.56,322.642
1.58,322.63
1.6,322.619
1.62,322.607
1.64,322.595
1.66,322.582
1.68,322.57
1.7,322.557
1.72,322.543
1.74,322.529
1.76,322.515
1.78,322.5
1.8,322.486
1.82,322.471
1.84,322.457
1.86,322.442
1.88,322.428
1.9,322.415
1.92,322.401
1.94,322.388
1.96,322.374
1.98,322.36
2,322.346
2.02,322.331
2.04,322.315
2.06,322.299
2.08,322.283
2.1,322.267
2.12,322.251
2.14,322.236
2.16,322.22
2.18,322.206
2.2,322.191
2.22,322.176
2.24,322.16
2.26,322.143
2.28,322.127
2.3,322.111
2.32,322.097
2.34,322.083
2.36,322.069
2.38,322.055
2.4,322.041
2.42,322.027
2.44,322.012
2.46,321.996
2.48,321.979
2.5,321.961
2.52,321.944
2.54,321.927
2.56,321.912
2.58,321.898
2.6,321.885
2.62,321.872
2.64,321.859
2.66,321.846
2.68,321.832
2.7,321.817
2.72,321.802
2.74,321.786
2.76,321.769
2.78,321.753
2.8,321.736
2.82,321.72
2.84,321.705
2.86,321.69
2.88,321.675
2.9,321.661
2.92,321.647
2.94,321.632
2.96,321.618
2.98,321.602
3,321.586
3.02,321.57
3.04,321.554
3.06,321.538
3.08,321.523
3.1,321.508
3.12,321.495
3.14,321.481
3.16,321.467
3.18,321.453
3.2,321.438
3.22,321.423
3.24,321.407
3.26,321.391
3.28,321.375
3.3,321.36
3.32,321.346
3.34,321.332
3.36,321.319
3.38,321.305
3.4,321.291
3.42,321.277
3.44,321.262
3.46,321.246
3.48,321.23
3.5,321.214
3.52,321.198
3.54,321.183
3.56,321.169
3.58,321.154
3.6,321.14
3.62,321.126
3.64,321.111
3.66,321.096
3.68,321.082
3.7,321.067
3.72,321.052
3.74,321.037
3.76,321.021
3.78,321.005
3.8,320.989
3.82,320.974
3.84,320.959
3.86,320.944
3.88,320.93
3.9,320.916
3.92,320.902
3.94,320.888
3.96,320.874
3.98,320.86
4,320.845
4.02,320.829
4.04,320.813
4.06,320.798
4.08,320.782
4.1,320.767
4.12,320.753
4.14,320.739
4.16,320.724
4.18,320.71
4.2,320.695
4.22,320.68
4.24,320.665
4.26,320.65
4.28,320.635
4.3,320.62
4.32,320.606
4.34,320.591
4.36,320.577
4.38,320.562
4.4,320.547
4.42,320.532
4.44,320.517
4.46,320.502
4.48,320.487
4.5,320.472
4.52,320.457
4.54,320.443
4.56,320.429
4.58,320.414
4.6,320.4
4.62,320.386
4.64,320.371
4.66,320.355
4.68,320.34
4.7,320.326
4.72,320.311
4.74,320.297
4.76,320.283
4.78,320.268
4.8,320.254
4.82,320.239
4.84,320.225
4.86,320.21
4.88,320.196
4.9,320.181
4.92,320.167
4.94,320.152
4.96,320.138
4.98,320.123
5,320.108
5.02,320.093
5.04,320.078
5.06,320.063
5.08,320.048
5.1,320.034
5.12,320.02
5.14,320.005
5.16,319.991
5.18,319.977
5.2,319.962
5.22,319.948
5.24,319.933
5.26,319.918
5.28,319.903
5.3,319.888
5.32,319.873
5.34,319.859
5.36,319.846
5.38,319.832
5.4,319.817
5.42,319.803
5.44,319.789
5.46,319.775
5.48,319.76
5.5,319.745
5.52,319.73
5.54,319.715
5.56,319.7
5.58,319.685
5.6,319.671
5.62,319.657
5.64,319.643
5.66,319.629
5.68,319.615
5.7,319.601
5.72,319.586
5.74,319.572
5.76,319.558
5.78,319.543
5.8,319.528
5.82,319.514
5.84,319.5
5.86,319.486
5.88,319.471
5.9,319.457
5.92,319.443
5.94,319.429
5.96,319.415
5.98,319.4
6,319.386
6.02,319.372
6.04,319.357
6.06,319.343
6.08,319.329
6.1,319.315
6.12,319.3
6.14,319.286
