Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.104,323.15,323.091
0.04,323.092,323.15,323.056
0.06,323.088,323.15,323.015
0.08,323.086,323.15,322.985
0.1,323.085,323.15,322.958
0.12,323.083,323.15,322.935
0.14,323.081,323.15,322.918
0.16,323.078,323.15,322.905
0.18,323.076,323.15,322.872
0.2,323.073,323.15,322.83
0.22,323.069,323.15,322.786
0.24,323.065,323.15,322.739
0.26,323.061,323.15,322.689
0.28,323.057,323.15,322.635
0.3,323.053,323.15,322.575
0.32,323.048,323.15,322.51
0.34,323.043,323.15,322.443
0.36,323.037,323.15,322.372
0.38,323.031,323.15,322.299
0.4,323.025,323.15,322.223
0.42,323.019,323.15,322.144
0.44,323.012,323.15,322.063
0.46,323.005,323.15,321.979
0.48,322.998,323.15,321.892
0.5,322.99,323.15,321.804
0.52,322.982,323.15,321.712
0.54,322.974,323.15,321.619
0.56,322.966,323.15,321.523
0.58,322.957,323.15,321.425
0.6,322.948,323.15,321.325
0.62,322.938,323.15,321.223
0.64,322.928,323.15,321.119
0.66,322.918,323.15,321.014
0.68,322.908,323.15,320.906
0.7,322.897,323.15,320.796
0.72,322.886,323.15,320.685
0.74,322.875,323.15,320.571
0.76,322.864,323.15,320.456
0.78,322.852,323.15,320.339
0.8,322.84,323.15,320.221
0.82,322.827,323.149,320.101
0.84,322.814,323.149,319.979
0.86,322.801,323.149,319.856
0.88,322.788,323.149,319.731
0.9,322.774,323.149,319.606
0.92,322.76,323.149,319.478
0.94,322.746,323.149,319.35
0.96,322.731,323.149,319.22
0.98,322.716,323.149,319.089
1,322.701,323.149,318.956
1.02,322.685,323.148,318.823
1.04,322.67,323.136,318.687
1.06,322.654,323.124,318.55
1.08,322.637,323.112,318.413
1.1,322.621,323.111,318.274
1.12,322.605,323.111,318.132
1.14,322.588,323.111,317.985
1.16,322.571,323.11,317.836
1.18,322.553,323.11,317.682
1.2,322.535,323.11,317.525
1.22,322.515,323.11,317.368
1.24,322.495,323.11,317.213
1.26,322.475,323.109,317.058
1.28,322.454,323.109,316.905
1.3,322.434,323.109,316.752
1.32,322.413,323.109,316.598
1.34,322.393,323.109,316.444
1.36,322.373,323.108,316.291
1.38,322.352,323.108,316.135
1.4,322.331,323.108,315.979
1.42,322.31,323.108,315.819
1.44,322.288,323.108,315.657
1.46,322.266,323.107,315.492
1.48,322.242,323.107,315.325
1.5,322.218,323.107,315.154
1.52,322.193,323.107,314.986
1.54,322.168,323.106,314.821
1.56,322.144,323.106,314.662
1.58,322.12,323.106,314.508
1.6,322.096,323.106,314.356
1.62,322.073,323.105,314.203
1.64,322.049,323.105,314.047
1.66,322.024,323.104,313.89
1.68,321.999,323.104,313.732
1.7,321.973,323.104,313.571
1.72,321.947,323.103,313.404
1.74,321.919,323.103,313.236
1.76,321.89,323.102,313.074
1.78,321.862,323.102,312.916
1.8,321.834,323.102,312.772
1.82,321.805,323.102,312.631
1.84,321.776,323.102,312.494
1.86,321.748,323.101,312.361
1.88,321.721,323.101,312.232
1.9,321.694,323.099,312.106
1.92,321.668,323.098,311.981
1.94,321.641,323.096,311.852
1.96,321.614,323.094,311.726
1.98,321.587,323.091,311.594
2,321.558,323.09,311.451
2.02,321.528,323.088,311.298
2.04,321.498,323.086,311.144
2.06,321.466,323.085,310.994
2.08,321.434,323.084,310.854
2.1,321.402,323.083,310.729
2.12,321.371,323.083,310.616
2.14,321.341,323.082,310.523
2.16,321.311,323.082,310.437
2.18,321.282,323.081,310.345
2.2,321.253,323.081,310.255
2.22,321.224,323.08,310.147
2.24,321.193,323.079,310.038
2.26,321.16,323.074,309.934
2.28,321.128,323.07,309.829
2.3,321.098,323.064,309.724
2.32,321.07,323.053,309.627
2.34,321.044,323.045,309.535
2.36,321.017,323.039,309.433
2.38,320.991,323.032,309.349
2.4,320.965,323.024,309.255
2.42,320.937,323.016,309.116
2.44,320.909,323.009,308.975
2.46,320.879,323.001,308.838
2.48,320.847,322.995,308.705
2.5,320.815,322.989,308.576
2.52,320.782,322.978,308.461
2.54,320.75,322.967,308.348
2.56,320.718,322.954,308.238
2.58,320.687,322.937,308.122
2.6,320.658,322.928,307.995
2.62,320.631,322.921,307.866
2.64,320.605,322.917,307.742
2.66,320.579,322.913,307.621
2.68,320.553,322.911,307.5
2.7,320.526,322.908,307.375
2.72,320.498,322.905,307.249
2.74,320.469,322.902,307.127
2.76,320.438,322.898,307.012
2.78,320.406,322.895,306.902
2.8,320.373,322.889,306.794
2.82,320.342,322.884,306.694
2.84,320.312,322.879,306.616
2.86,320.284,322.875,306.538
2.88,320.258,322.871,306.421
2.9,320.232,322.866,306.297
2.92,320.206,322.862,306.176
2.94,320.179,322.857,306.056
2.96,320.153,322.852,305.938
2.98,320.125,322.846,305.825
3,320.097,322.841,305.713
3.02,320.067,322.836,305.603
3.04,320.036,322.831,305.496
3.06,320.006,322.827,305.396
3.08,319.976,322.82,305.328
3.1,319.948,322.806,305.256
3.12,319.92,322.786,305.175
3.14,319.894,322.76,305.085
3.16,319.867,322.733,304.995
3.18,319.84,322.706,304.911
3.2,319.812,322.691,304.847
3.22,319.784,322.675,304.805
3.24,319.755,322.65,304.702
3.26,319.727,322.617,304.605
3.28,319.698,322.573,304.519
3.3,319.668,322.55,304.463
3.32,319.639,322.535,304.407
3.34,319.611,322.524,304.395
3.36,319.584,322.508,304.422
3.38,319.557,322.488,304.479
3.4,319.53,322.46,304.529
3.42,319.503,322.44,304.506
3.44,319.476,322.406,304.466
3.46,319.449,322.364,304.381
3.48,319.42,322.35,304.298
3.5,319.391,322.335,304.257
3.52,319.361,322.321,304.179
3.54,319.33,322.308,304.101
3.56,319.3,322.292,304.022
3.58,319.272,322.275,303.941
3.6,319.244,322.257,303.86
3.62,319.218,322.247,303.774
3.64,319.192,322.238,303.687
3.66,319.166,322.228,303.602
3.68,319.14,322.215,303.518
3.7,319.113,322.206,303.438
3.72,319.085,322.199,303.361
3.74,319.056,322.19,303.286
3.76,319.026,322.18,303.213
3.78,318.996,322.171,303.141
3.8,318.966,322.165,303.069
3.82,318.938,322.16,302.994
3.84,318.911,322.155,302.918
3.86,318.885,322.15,302.839
3.88,318.858,322.142,302.759
3.9,318.831,322.133,302.676
3.92,318.803,322.121,302.596
3.94,318.775,322.109,302.52
3.96,318.747,322.095,302.456
3.98,318.72,322.079,302.43
4,318.693,322.062,302.403
4.02,318.666,322.045,302.372
4.04,318.639,322.02,302.347
4.06,318.612,321.994,302.364
4.08,318.585,321.97,302.386
4.1,318.557,321.948,302.382
4.12,318.529,321.922,302.311
4.14,318.5,321.897,302.24
4.16,318.471,321.87,302.169
4.18,318.442,321.838,302.099
4.2,318.414,321.806,302.028
4.22,318.387,321.792,301.955
4.24,318.36,321.78,301.881
4.26,318.334,321.767,301.803
4.28,318.308,321.754,301.725
4.3,318.281,321.74,301.648
4.32,318.254,321.723,301.568
4.34,318.227,321.699,301.489
4.36,318.199,321.67,301.413
4.38,318.171,321.641,301.343
4.4,318.143,321.618,301.276
4.42,318.115,321.605,301.205
4.44,318.088,321.593,301.135
4.46,318.06,321.576,301.064
4.48,318.033,321.555,301.021
4.5,318.007,321.534,300.998
4.52,317.982,321.51,300.982
4.54,317.957,321.488,300.989
4.56,317.931,321.468,301.018
4.58,317.906,321.45,301.046
4.6,317.88,321.432,301.071
4.62,317.853,321.413,301.099
4.64,317.825,321.392,301.123
4.66,317.796,321.368,301.136
4.68,317.766,321.344,301.145
4.7,317.736,321.324,301.102
4.72,317.707,321.306,301.053
4.74,317.679,321.289,301.007
4.76,317.652,321.275,300.957
4.78,317.626,321.262,300.885
4.8,317.599,321.249,300.814
4.82,317.572,321.236,300.739
4.84,317.546,321.222,300.668
4.86,317.519,321.206,300.595
4.88,317.492,321.185,300.523
4.9,317.465,321.161,300.459
4.92,317.439,321.134,300.396
4.94,317.414,321.113,300.364
4.96,317.388,321.094,300.336
4.98,317.361,321.076,300.298
5,317.334,321.058,300.283
5.02,317.306,321.039,300.27
5.04,317.278,321.021,300.261
5.06,317.251,321.005,300.261
5.08,317.224,320.989,300.287
5.1,317.199,320.97,300.32
5.12,317.174,320.95,300.364
5.14,317.149,320.928,300.419
5.16,317.124,320.904,300.489
5.18,317.098,320.877,300.555
5.2,317.072,320.849,300.632
5.22,317.046,320.818,300.703
5.24,317.019,320.788,300.771
5.26,316.992,320.764,300.834
5.28,316.965,320.743,300.888
5.3,316.937,320.727,300.937
5.32,316.91,320.714,300.978
5.34,316.883,320.701,301.017
5.36,316.856,320.691,301.063
5.38,316.829,320.681,301.111
5.4,316.802,320.672,301.158
5.42,316.775,320.661,301.22
5.44,316.747,320.647,301.319
5.46,316.72,320.625,301.434
5.48,316.694,320.597,301.551
5.5,316.668,320.566,301.668
5.52,316.643,320.536,301.789
