Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.103,323.15,323.089
0.04,323.091,323.15,323.053
0.06,323.088,323.15,323.01
0.08,323.086,323.15,322.979
0.1,323.084,323.15,322.951
0.12,323.083,323.15,322.927
0.14,323.08,323.15,322.909
0.16,323.078,323.15,322.897
0.18,323.075,323.15,322.859
0.2,323.072,323.15,322.816
0.22,323.069,323.15,322.769
0.24,323.065,323.15,322.718
0.26,323.061,323.15,322.663
0.28,323.056,323.15,322.599
0.3,323.052,323.15,322.531
0.32,323.047,323.15,322.459
0.34,323.041,323.15,322.385
0.36,323.036,323.15,322.306
0.38,323.03,323.15,322.225
0.4,323.024,323.15,322.14
0.42,323.017,323.15,322.052
0.44,323.01,323.15,321.961
0.46,323.003,323.15,321.867
0.48,322.996,323.15,321.77
0.5,322.988,323.15,321.67
0.52,322.98,323.15,321.567
0.54,322.972,323.15,321.462
0.56,322.963,323.15,321.353
0.58,322.954,323.15,321.242
0.6,322.944,323.15,321.129
0.62,322.935,323.15,321.012
0.64,322.925,323.15,320.894
0.66,322.915,323.15,320.774
0.68,322.904,323.15,320.651
0.7,322.893,323.15,320.525
0.72,322.882,323.15,320.397
0.74,322.871,323.15,320.268
0.76,322.859,323.15,320.135
0.78,322.847,323.15,320.001
0.8,322.834,323.15,319.865
0.82,322.821,323.15,319.727
0.84,322.808,323.15,319.586
0.86,322.795,323.15,319.444
0.88,322.781,323.15,319.3
0.9,322.767,323.15,319.155
0.92,322.753,323.15,319.008
0.94,322.739,323.15,318.859
0.96,322.724,323.15,318.708
0.98,322.708,323.15,318.556
1,322.693,323.15,318.403
1.02,322.677,323.149,318.247
1.04,322.661,323.14,318.09
1.06,322.645,323.13,317.931
1.08,322.628,323.121,317.771
1.1,322.612,323.114,317.609
1.12,322.595,323.114,317.442
1.14,322.578,323.114,317.269
1.16,322.561,323.113,317.091
1.18,322.543,323.113,316.907
1.2,322.524,323.113,316.719
1.22,322.504,323.113,316.529
1.24,322.484,323.112,316.343
1.26,322.463,323.112,316.159
1.28,322.442,323.112,315.976
1.3,322.422,323.111,315.793
1.32,322.401,323.111,315.611
1.34,322.381,323.111,315.429
1.36,322.36,323.11,315.248
1.38,322.34,323.11,315.067
1.4,322.319,323.11,314.884
1.42,322.297,323.109,314.696
1.44,322.275,323.109,314.504
1.46,322.252,323.108,314.308
1.48,322.228,323.108,314.113
1.5,322.204,323.108,313.917
1.52,322.178,323.108,313.723
1.54,322.153,323.108,313.533
1.56,322.128,323.107,313.351
1.58,322.104,323.107,313.175
1.6,322.081,323.107,313.005
1.62,322.057,323.107,312.834
1.64,322.033,323.107,312.731
1.66,322.009,323.106,312.599
1.68,321.984,323.106,312.423
1.7,321.957,323.106,312.239
1.72,321.93,323.106,312.043
1.74,321.901,323.105,311.853
1.76,321.872,323.105,311.681
1.78,321.843,323.105,311.515
1.8,321.814,323.105,311.358
1.82,321.785,323.105,311.215
1.84,321.756,323.105,311.076
1.86,321.728,323.104,310.941
1.88,321.7,323.104,310.812
1.9,321.674,323.103,310.687
1.92,321.647,323.103,310.56
1.94,321.621,323.101,310.431
1.96,321.593,323.1,310.302
1.98,321.565,323.098,310.164
2,321.535,323.097,310.016
2.02,321.505,323.095,309.849
2.04,321.473,323.092,309.675
2.06,321.44,323.09,309.507
2.08,321.407,323.088,309.368
2.1,321.374,323.087,309.247
2.12,321.343,323.086,309.122
2.14,321.313,323.085,309.001
2.16,321.284,323.085,308.875
2.18,321.255,323.085,308.745
2.2,321.226,323.085,308.606
2.22,321.195,323.084,308.456
2.24,321.164,323.084,308.295
2.26,321.131,323.083,308.14
2.28,321.1,323.077,308.002
2.3,321.07,323.071,307.875
2.32,321.042,323.068,307.736
2.34,321.016,323.06,307.619
2.36,320.99,323.057,307.507
2.38,320.963,323.052,307.374
2.4,320.937,323.047,307.241
2.42,320.909,323.039,307.099
2.44,320.88,323.036,306.942
2.46,320.849,323.032,306.792
2.48,320.816,323.028,306.647
2.5,320.783,323.021,306.505
2.52,320.749,323.011,306.375
2.54,320.717,322.997,306.261
2.56,320.686,322.986,306.144
2.58,320.657,322.977,306.013
2.6,320.63,322.971,305.876
2.62,320.605,322.968,305.756
2.64,320.58,322.965,305.718
2.66,320.555,322.962,305.645
2.68,320.529,322.958,305.525
2.7,320.502,322.951,305.405
2.72,320.473,322.944,305.287
2.74,320.443,322.938,305.173
2.76,320.411,322.934,305.06
2.78,320.378,322.93,304.952
2.8,320.346,322.926,304.85
2.82,320.314,322.92,304.738
2.84,320.284,322.909,304.628
2.86,320.255,322.896,304.513
2.88,320.227,322.877,304.394
2.9,320.201,322.87,304.266
2.92,320.175,322.861,304.146
2.94,320.149,322.853,304.027
2.96,320.123,322.845,303.91
2.98,320.096,322.836,303.798
3,320.069,322.826,303.69
3.02,320.04,322.811,303.585
3.04,320.009,322.797,303.485
3.06,319.978,322.783,303.395
3.08,319.946,322.775,303.305
3.1,319.915,322.769,303.219
3.12,319.885,322.763,303.166
3.14,319.856,322.757,303.09
3.16,319.828,322.753,303.022
3.18,319.8,322.746,302.959
3.2,319.772,322.738,302.861
3.22,319.744,322.729,302.752
3.24,319.715,322.72,302.654
3.26,319.687,322.708,302.562
3.28,319.659,322.698,302.473
3.3,319.63,322.69,302.387
3.32,319.601,322.68,302.299
3.34,319.57,322.669,302.211
3.36,319.539,322.659,302.12
3.38,319.508,322.646,302.031
3.4,319.477,322.633,301.943
3.42,319.447,322.615,301.861
3.44,319.417,322.598,301.778
3.46,319.389,322.587,301.693
3.48,319.361,322.58,301.606
3.5,319.334,322.572,301.514
3.52,319.307,322.562,301.421
3.54,319.279,322.552,301.329
3.56,319.251,322.541,301.242
3.58,319.223,322.528,301.181
3.6,319.194,322.509,301.184
3.62,319.164,322.491,301.195
3.64,319.134,322.48,301.188
3.66,319.105,322.472,301.24
3.68,319.076,322.465,301.264
3.7,319.047,322.457,301.315
3.72,319.019,322.45,301.327
3.74,318.992,322.443,301.233
3.76,318.965,322.435,301.14
3.78,318.939,322.427,301.055
3.8,318.913,322.417,300.978
3.82,318.886,322.406,300.955
3.84,318.858,322.395,300.945
